# x, y, z, vx, vy, vz,
1.29106e-05,-2.74434e-05,0.000121739,0.678757,-0.0339613,0.0527451,
3.79511e-05,-5.11528e-05,-1.46673e-05,1.22353,-1.25985,0.019419,
-5.83698e-05,8.65266e-06,8.80438e-05,-0.121877,1.6558,0.0632087,
4.53284e-06,-3.58296e-05,4.52755e-06,0.908244,0.309508,0.15711,
-4.42606e-05,4.67637e-05,-7.64409e-05,-1.39608,0.928041,0.0139974,
-1.25045e-05,-5.66091e-05,-5.29771e-06,1.17129,0.145363,0.0753431,
-1.07109e-05,-3.14705e-05,-3.8342e-05,0.879652,0.578704,-0.0689879,
5.44991e-05,1.81433e-05,-2.7053e-05,-0.628266,-1.54506,-0.242239,
1.43373e-05,-6.06436e-05,-9.46425e-06,1.22718,-0.38245,-0.00308557,
3.94264e-06,-5.96618e-05,-5.70884e-05,1.21592,-0.18188,0.0161048,
-1.97857e-05,-5.39687e-05,2.00014e-05,1.44485,0.957798,-0.0906586,
-4.77778e-05,6.07084e-06,0.000142371,-0.294364,1.15664,-0.0397708,
3.20029e-05,1.21923e-05,3.39264e-05,-0.061993,-0.64571,0.244832,
3.20505e-06,3.91042e-05,-0.000141682,-0.615021,-0.211115,-0.039425,
-5.31224e-06,-3.43757e-05,-6.56763e-05,0.96744,0.190907,0.0354437,
-1.40504e-06,-3.47842e-05,3.03506e-05,1.14148,0.168506,0.0124731,
-2.66325e-05,5.87362e-06,0.000130612,-0.394749,0.35225,-0.0805791,
4.95534e-05,2.66101e-05,-5.34193e-05,-1.06886,-1.55439,0.0258285,
2.23002e-05,2.31505e-05,7.72435e-05,-0.355389,-0.547822,0.17602,
1.28928e-05,-3.53999e-05,7.5306e-05,0.940322,-0.563637,0.00219873,
2.48753e-05,2.16487e-05,-1.89115e-05,-0.894003,-0.691739,0.0209782,
5.80229e-05,-2.58001e-05,-4.43304e-05,0.35764,-1.26303,-0.0504406,
-6.02291e-05,1.7532e-05,-3.16818e-05,-0.589902,1.30467,-0.0640593,
3.36796e-06,5.88298e-05,-6.59409e-05,-1.62916,-0.215034,0.0572533,
1.98846e-05,5.25071e-05,-8.73274e-05,-1.32723,-0.757363,0.0837233,
3.29358e-05,-1.29973e-05,4.17076e-05,-0.0167985,-0.774472,0.122541,
-5.81686e-05,-9.80592e-06,-3.8605e-05,-0.0687672,1.42664,0.064301,
4.51658e-05,-4.5915e-05,3.59945e-05,0.794147,-1.19278,0.0473121,
2.87393e-05,4.68012e-05,8.86023e-05,-1.13896,-0.773309,-0.0320686,
-3.7818e-05,-4.20683e-05,1.158e-06,1.06238,1.12758,0.16836,
-8.7384e-06,3.59638e-05,4.32102e-05,-1.09513,0.189409,-0.0215045,
-3.06757e-05,9.75297e-06,0.000103434,-0.208697,0.916769,0.163684,
3.48329e-05,-2.22263e-05,-0.000145494,0.50894,-1.06938,0.0982618,
-2.93489e-05,-1.44816e-05,6.53253e-05,0.571111,0.872879,0.018113,
-7.54451e-06,-5.06374e-05,0.000116441,1.39005,0.266271,-0.128258,
-4.78042e-06,3.441e-05,-5.41788e-05,-0.564711,0.191251,-0.0314585,
-3.70203e-05,5.20946e-05,-4.91872e-05,-1.50637,0.65601,0.128463,
2.37021e-05,-4.16209e-05,-0.000139699,0.902849,-0.756262,-0.0629075,
3.32313e-05,-2.17793e-06,8.58266e-05,-0.433319,-0.661997,0.00254939,
7.15633e-06,-5.92857e-05,9.07184e-05,1.51041,0.00955183,-0.123628,
-2.1058e-05,-2.19613e-05,-0.000115282,0.50474,0.566561,-0.0746472,
-1.31775e-05,5.96012e-05,-4.32552e-05,-1.4675,0.380721,-0.180539,
5.02909e-06,5.89462e-05,1.09674e-05,-1.32779,0.1209,0.0142693,
-1.75964e-05,2.7632e-05,0.000113478,-0.683522,0.039253,-0.030823,
-4.36398e-05,4.78352e-05,5.52795e-07,-1.2373,1.22346,-0.0972485,
-1.36217e-05,-2.79923e-05,-0.00016909,0.713467,0.574513,0.00774168,
-3.27989e-05,-4.00605e-07,2.40748e-05,0.0471713,1.00194,-0.00973702,
-2.98937e-05,2.45254e-05,3.37092e-05,-0.699897,0.42923,-0.0198201,
1.72214e-05,-3.17197e-05,-0.000165307,0.742577,-0.329448,-0.0236185,
4.85112e-05,-2.03863e-05,0.000131769,0.280758,-1.53736,0.0496352,
-2.25482e-05,-5.21718e-05,-5.23509e-05,0.915068,0.45036,0.00361903,
-5.46065e-05,3.48006e-05,2.03898e-05,-0.69708,1.41694,0.124997,
2.74284e-05,3.23082e-05,-0.000141844,-0.537459,-0.825571,-0.0794232,
-1.66403e-05,-2.85458e-05,-1.22417e-05,0.64041,0.43858,-0.0318295,
-5.64402e-05,2.58802e-05,-7.73319e-05,-0.415549,1.04676,0.16128,
-3.24602e-05,5.0737e-05,-9.94425e-05,-1.08314,0.955016,0.0531265,
-5.02387e-05,4.20039e-05,4.78774e-05,-1.2294,1.21676,0.0904036,
-4.48113e-05,-3.46739e-05,2.73413e-05,1.23669,1.26305,0.0662972,
-5.45526e-05,-1.8076e-05,8.74154e-06,0.208059,1.21314,0.0355378,
2.16964e-05,5.38204e-05,6.31024e-05,-1.09472,-0.298474,-0.0368662,
-3.23511e-05,-6.03319e-06,-1.79702e-06,0.4037,1.25442,0.0715388,
